gene,HR,95% CI,p.value
ENSG00000153904,0.341,(0.15-0.79),0.0116
ENSG00000198258,9.09,(2.4-34),0.0011
ENSG00000183207,4.78,(1.6-15),0.00605
ENSG00000132676,3.75,(1.1-13),0.0406
ENSG00000173272,6.12,(1.4-28),0.0184
ENSG00000152082,6.12,(1.4-28),0.0184
ENSG00000122952,4.56,(1.2-17),0.0228
ENSG00000179163,0.182,(0.068-0.49),0.000719
ENSG00000265479,34.7,(1.3-950),0.0355
ENSG00000166888,0.103,(0.017-0.62),0.0131
ENSG00000136504,0.214,(0.055-0.84),0.0266
ENSG00000273859,32.2,(1.6-660),0.0244
ENSG00000099849,32.2,(1.6-660),0.0244
ENSG00000167815,27.3,(4.7-160),0.000216
ENSG00000116161,3.31,(1.1-9.9),0.0327
ENSG00000161638,2.43,(1.5-4),0.00037
ENSG00000107223,7.81,(1.1-58),0.0446
ENSG00000198700,13,(2.6-64),0.00162
ENSG00000086666,0.233,(0.065-0.84),0.0256
ENSG00000116521,22.6,(4.1-130),0.000375
ENSG00000263290,22.6,(4.1-130),0.000375
ENSG00000109084,2.19,(1.2-3.9),0.00788
ENSG00000075420,2.72,(1.2-6),0.014
ENSG00000197045,6.1,(1.5-25),0.0128
ENSG00000002933,0.377,(0.15-0.96),0.0407
ENSG00000100258,110,(2.2-5500),0.0188
ENSG00000166803,8.54,(2.7-27),0.000294
ENSG00000142784,0.0328,(0.0013-0.85),0.0393
ENSG00000101444,3.42,(1.6-7.4),0.00165
ENSG00000114956,22.1,(2.3-220),0.00773
ENSG00000185359,4.66,(1-21),0.0459
ENSG00000116473,0.134,(0.037-0.48),0.00215
ENSG00000185559,0.623,(0.45-0.85),0.0032
ENSG00000159346,4.86,(1.6-15),0.0065
ENSG00000156858,1830,(6.1-550000),0.00993
ENSG00000275498,4.24,(1.4-13),0.0133
ENSG00000179889,4.24,(1.4-13),0.0133
ENSG00000145050,14.7,(2.4-89),0.00348
ENSG00000125505,12.8,(2.6-62),0.00165
ENSG00000277733,12.8,(2.6-62),0.00165
ENSG00000277923,12.8,(2.6-62),0.00165
ENSG00000274194,12.8,(2.6-62),0.00165
ENSG00000278322,12.8,(2.6-62),0.00165
ENSG00000276935,12.8,(2.6-62),0.00165
ENSG00000273592,12.8,(2.6-62),0.00165
ENSG00000275118,12.8,(2.6-62),0.00165
ENSG00000277025,12.8,(2.6-62),0.00165
ENSG00000278519,12.8,(2.6-62),0.00165
ENSG00000104979,30.8,(4.1-230),0.000881
ENSG00000169689,11.8,(2-71),0.00708
ENSG00000196470,0.196,(0.052-0.74),0.0166
ENSG00000132294,0.236,(0.082-0.68),0.00733
ENSG00000163882,4.6,(1.1-20),0.04
ENSG00000130520,6.24,(1.5-27),0.0136
ENSG00000120333,12.2,(2.1-70),0.00503
ENSG00000255112,24.8,(3.5-180),0.00128
ENSG00000166483,3.15,(1.4-7.2),0.00669
ENSG00000117362,9.23,(2.1-41),0.00325
ENSG00000184205,0.0955,(0.015-0.62),0.0139
ENSG00000163655,8.4,(2.1-34),0.0031
ENSG00000111731,0.275,(0.12-0.63),0.00214
ENSG00000115762,0.298,(0.1-0.87),0.0263
ENSG00000121057,0.515,(0.28-0.95),0.033
ENSG00000135845,34.5,(4.2-280),0.001
ENSG00000197061,2.85,(1.1-7.7),0.0379
ENSG00000262666,115,(11-1200),7.02e-05
ENSG00000160767,115,(11-1200),7.02e-05
ENSG00000274829,0.202,(0.046-0.88),0.0328
ENSG00000140694,0.202,(0.046-0.88),0.0328
ENSG00000185950,0.49,(0.27-0.9),0.0226
ENSG00000002549,0.366,(0.15-0.92),0.0323
ENSG00000184432,19.8,(2.7-140),0.00322
ENSG00000095139,6.68,(1.4-33),0.0197
ENSG00000104872,6.55,(1.9-23),0.00338
ENSG00000184216,5.56,(1.6-19),0.00597
ENSG00000143575,19.8,(1.8-220),0.0149
ENSG00000101017,0.00484,(7.1e-05-0.33),0.0132
ENSG00000143621,7.51,(2.1-27),0.00224
ENSG00000141867,25.8,(2.3-290),0.00877
ENSG00000130177,0.102,(0.02-0.51),0.00539
ENSG00000290574,0.368,(0.14-0.98),0.0462
ENSG00000157227,3.84,(1-15),0.0472
ENSG00000105287,0.0257,(0.00077-0.85),0.0405
ENSG00000129968,6.93,(1.3-37),0.0242
ENSG00000065154,0.12,(0.04-0.36),0.000159
ENSG00000099814,6.42,(1.5-27),0.0117
ENSG00000177963,14.5,(2.2-96),0.00559
ENSG00000106397,4.94,(1-23),0.0443
ENSG00000157654,0.305,(0.11-0.83),0.0198
ENSG00000211666,0.301,(0.11-0.8),0.0165
ENSG00000010017,0.0259,(0.0026-0.26),0.00185
ENSG00000128340,0.178,(0.055-0.57),0.00372
ENSG00000107581,6.75,(1.3-36),0.0252
ENSG00000131016,0.518,(0.33-0.8),0.00339
ENSG00000108179,5.32,(1.5-19),0.0107
ENSG00000179091,3.64,(1.2-11),0.0238
ENSG00000115234,51.6,(5.1-520),0.000852
ENSG00000025796,0.187,(0.074-0.47),0.000398
ENSG00000101158,6.69,(2.1-21),0.00129
ENSG00000100219,0.413,(0.19-0.91),0.0291
ENSG00000198162,4.94,(1.7-15),0.00366
ENSG00000133731,0.205,(0.063-0.67),0.0084
ENSG00000120265,0.35,(0.14-0.88),0.0249
ENSG00000136193,0.37,(0.22-0.62),0.000185
ENSG00000131711,0.589,(0.37-0.95),0.0284
ENSG00000167397,7.36,(1.5-35),0.0122
ENSG00000196502,0.127,(0.033-0.49),0.00282
ENSG00000289755,0.127,(0.033-0.49),0.00282
ENSG00000153339,0.184,(0.045-0.75),0.0186
ENSG00000158292,0.0355,(0.0014-0.88),0.0418
ENSG00000133818,0.452,(0.22-0.95),0.0366
ENSG00000155090,0.348,(0.13-0.93),0.0349
ENSG00000189058,0.44,(0.22-0.89),0.0232
ENSG00000184897,6.57,(2.2-20),0.000842
ENSG00000104723,2.68,(1.1-6.4),0.0254
ENSG00000214046,7.91,(1.2-51),0.029
ENSG00000151923,6.33,(1.3-32),0.0247
ENSG00000188554,0.114,(0.037-0.35),0.000167
ENSG00000066777,0.257,(0.08-0.83),0.0232
