,ENSEMBL,logFC,AveExpr,t,P.Value,adj.P.Val,B
EGFR,ENSG00000146648,-0.023873774,7.625373956,-0.103841653,0.917959436,0.971020283,-7.315049451
FLG,ENSG00000143631,-0.024036039,4.323973463,-0.133602609,0.894574593,0.966410911,-7.311420281
GPR27,ENSG00000170837,-0.024099256,7.686716561,-0.093271494,0.926284065,0.973358325,-7.316119638
NPC1,ENSG00000141458,-0.02414005,8.837687509,-0.105356435,0.916767205,0.970173206,-7.314886688
HTR4,ENSG00000164270,-0.024318122,8.491823989,-0.101498596,0.919803953,0.971914329,-7.315296571
OR10H1,ENSG00000186723,-0.024398328,6.494416832,-0.092632396,0.926787673,0.973519052,-7.316180666
SLC4A1,ENSG00000004939,-0.024450392,7.50747229,-0.109194179,0.913747538,0.970173206,-7.314463783
BPIFA1,ENSG00000198183,-0.024534122,6.820269655,-0.103564462,0.918177624,0.971063852,-7.31507898
CROT,ENSG00000005469,-0.024558551,6.553105818,-0.135554882,0.893043701,0.965800395,-7.311150449
CEMIP2,ENSG00000135048,-0.024581078,7.248886147,-0.075134301,0.940587393,0.978939894,-7.317688647
ZNF7,ENSG00000147789,-0.024767893,6.964712589,-0.058109033,0.954032239,0.985390899,-7.318854048
TFAP4,ENSG00000090447,-0.024807404,8.009807485,-0.110925627,0.9123856,0.970173206,-7.314268034
ZBTB22,ENSG00000206280,-0.024889591,7.519103501,-0.147024437,0.884058378,0.961055496,-7.309486247
