"cancer_type","dataset","event","ENSEMBL","KM_median_HR","KM_median_p","KM_median_lower","KM_median_upper","KM_optimal_HR","KM_optimal_p","KM_optimal_lower","KM_optimal_upper"
"TGCT","GSE10783_96","OS","ENSG00000173846",0.0838082456256881,0.00278085518983159,0.0105938594458159,0.663008799652311,0.119697297425697,0.00143676868846986,0.0252594826546433,0.567210469307927
"TGCT","GSE10783_96","OS","ENSG00000163501",1.19106833984383,0.782211389247207,0.344239463360684,4.12109575215067,2.15130770028725,0.21601677218879,0.620662329240841,7.45675160755459
"TGCT","GSE10783_96","OS","ENSG00000148200",1.54235800929704,0.499131662293149,0.434710036530215,5.47231034238471,1.7051168793888,0.434395465195233,0.440343150019996,6.60263154370535
"TGCT","GSE10783_96","OS","ENSG00000136111",0.522852773958412,0.307814079073291,0.147141709555965,1.85790299746402,0.244521854463437,0.0189892390866532,0.0684725316492356,0.873210554219458
"TGCT","GSE10783_96","OS","ENSG00000081386",0.675369547078689,0.540974344378248,0.190351260897225,2.39622276716908,1.90515577839569,0.407066387054222,0.404271388965889,8.97817317529916
"TGCT","GSE10783_96","OS","ENSG00000140320",1.54115664118982,0.499917956488029,0.434368606991034,5.46808345367491,1.73900916360791,0.385516431931513,0.490481997160558,6.16567557753265
"TGCT","GSE10783_96","OS","ENSG00000198668",1.02287897815031,0.971474680909053,0.29603216974719,3.53435035400153,2.00163326685959,0.370974508125023,0.42448185301483,9.43865021918622
"TGCT","GSE10783_96","OS","ENSG00000161944",1.08009008441268,0.903071133726114,0.312481325772202,3.73332578375268,0.529028974887119,0.306640108856594,0.152896474466638,1.83046507283059
"TGCT","GSE10783_96","OS","ENSG00000160007",1.71855216965574,0.39612158317355,0.484580732810566,6.09479774958985,2.64703763662648,0.117609085306618,0.745314495973151,9.40114312491451
"TGCT","GSE10783_96","OS","ENSG00000132639",1.57411093288938,0.478489207575121,0.444085583187109,5.57961195510793,1.80875232018454,0.351681330787642,0.510250950526914,6.41171751349909
"TGCT","GSE10783_96","OS","ENSG00000152990",0.591642932407502,0.411051483573651,0.16685943253942,2.09782182607538,0.446019629529893,0.199190713596414,0.125737842570608,1.58212918131048
"TGCT","GSE10783_96","OS","ENSG00000153767",5.19989729523032,0.0202022494271787,1.10137196715354,24.5502270689029,6.00815470501834,0.00327472630074451,1.54585738530381,23.3513927627545
"TGCT","GSE10783_96","OS","ENSG00000184166",1.77699780590948,0.367316298655618,0.500504020389003,6.30908259188976,4.22110445566481,0.0485039920060894,0.891907386078253,19.9770997569361
"TGCT","GSE10783_96","OS","ENSG00000184857",0.641789296363913,0.488670017611662,0.181022939401921,2.27536632809154,0.361369091013691,0.100506857164481,0.101763774972879,1.28324268606255
"TGCT","GSE10783_96","OS","ENSG00000171476",0.361716130047272,0.124788529828008,0.0933456717398641,1.4016564056767,0.310563508934749,0.056935119456823,0.0870670277163764,1.1077637035693
"TGCT","GSE10783_96","OS","ENSG00000152595",1.05442199477564,0.933265217170184,0.304981570580093,3.64548500734627,2.37870924284096,0.259073846223909,0.503877732589153,11.2294259023957
"TGCT","GSE10783_96","OS","ENSG00000128342",0.678244781151861,0.545323364165023,0.191216509035076,2.40573361307079,0.396674501838925,0.130764854444546,0.114555988567937,1.37356992311094
"TGCT","GSE10783_96","OS","ENSG00000163751",0.9544859840551,0.941308539752549,0.276166176382453,3.29889599693759,1.58268446039573,0.502475000241631,0.408806821664441,6.12731972274722
"TGCT","GSE10783_96","OS","ENSG00000125843",0.943928083311585,0.927380186700537,0.272856935808386,3.26544833403095,4.10568446196642,0.146224052168863,0.519638910254916,32.4391506651479
"TGCT","GSE10783_96","OS","ENSG00000171467",0.0863758300659219,0.00328919232736652,0.0109209075573287,0.683165202196985,0.0642105383489494,0.000501875661249558,0.00810732768299529,0.508551448303942
"TGCT","GSE10783_96","OS","ENSG00000142185",0.417947182092456,0.19224081942936,0.108010388534241,1.61725042738504,2.56288859870095e-09,0.0148156838860642,0,Inf
